,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Districts,Ward,Male Population,Female Population,Total Population
Zimbabwe,Total,7289558,7889421,15178979
Bulawayo,Total,307983,357957,665940
Bulawayo,Ward 01,3793,4125,7918
Bulawayo,Ward 02,12484,13754,26238
Bulawayo,Ward 03,16644,18532,35176
Bulawayo,Ward 04,13007,14132,27139
Bulawayo,Ward 05,9611,10550,20161
Bulawayo,Ward 06,6142,6958,13100
Bulawayo,Ward 07,8436,8983,17419
Bulawayo,Ward 08,10523,11653,22176
Bulawayo,Ward 09,11719,13298,25017
Bulawayo,Ward 10,12644,14901,27545
Bulawayo,Ward 11,7919,9711,17630
Bulawayo,Ward 12,11895,13582,25477
Bulawayo,Ward 13,8245,9357,17602
Bulawayo,Ward 14,9087,10773,19860
Bulawayo,Ward 15,6180,7288,13468
Bulawayo,Ward 16,6773,8737,15510
Bulawayo,Ward 17,7390,8845,16235
Bulawayo,Ward 18,9777,11390,21167
Bulawayo,Ward 19,8998,10546,19544
Bulawayo,Ward 20,8148,10094,18242
Bulawayo,Ward 21,12193,13516,25709
Bulawayo,Ward 22,7785,9407,17192
Bulawayo,Ward 23,7873,9448,17321
Bulawayo,Ward 24,9788,11455,21243
Bulawayo,Ward 25,10609,12560,23169
Bulawayo,Ward 26,10229,12082,22311
Bulawayo,Ward 27,17924,21881,39805
Bulawayo,Ward 28,34310,40760,75070
Bulawayo,Ward 29,7857,9639,17496
Bulawayo,Total,307983,357957,665940
Manicaland,Total,965532,1072230,2037762
Buhera,Ward 01,1964,2341,4305
Buhera,Ward 02,1961,2238,4199
Buhera,Ward 03,2224,2733,4957
Buhera,Ward 04,2841,3329,6170
Buhera,Ward 05,4146,4843,8989
Buhera,Ward 06,4058,4545,8603
Buhera,Ward 07,3087,3520,6607
Buhera,Ward 08,2360,2775,5135
Buhera,Ward 09,2329,2602,4931
Buhera,Ward 10,2531,3076,5607
Buhera,Ward 11,2868,3277,6145
Buhera,Ward 12,3944,4218,8162
Buhera,Ward 13,3155,3471,6626
Buhera,Ward 14,8582,10089,18671
Buhera,Ward 15,4559,5537,10096
Buhera,Ward 16,3147,3561,6708
Buhera,Ward 17,1999,2423,4422
Buhera,Ward 18,3469,4047,7516
Buhera,Ward 19,2562,3066,5628
Buhera,Ward 20,3727,4278,8005
Buhera,Ward 21,3323,3882,7205
Buhera,Ward 22,6685,7852,14537
Buhera,Ward 23,5688,6591,12279
Buhera,Ward 24,4571,5321,9892
Buhera,Ward 25,5668,6580,12248
Buhera,Ward 26,4095,4812,8907
Buhera,Ward 27,4448,5174,9622
Buhera,Ward 28,5823,6790,12613
Buhera,Ward 29,5686,6689,12375
Buhera,Ward 30,2618,3104,5722
Buhera,Ward 31,2558,3040,5598
Buhera,Ward 32,2893,3300,6193
Buhera,Ward 33,6204,7043,13247
Buhera,Total,125773,146147,271920
Chimanimani,Ward 01,2831,2822,5653
Chimanimani,Ward 02,2028,2330,4358
Chimanimani,Ward 03,2724,3265,5989
Chimanimani,Ward 04,4885,5695,10580
Chimanimani,Ward 05,3753,3963,7716
Chimanimani,Ward 06,1173,1395,2568
Chimanimani,Ward 07,4213,4800,9013
Chimanimani,Ward 08,4320,4965,9285
Chimanimani,Ward 09,810,901,1711
Chimanimani,Ward 10,1388,1645,3033
Chimanimani,Ward 11,1453,1346,2799
Chimanimani,Ward 12,3194,2638,5832
Chimanimani,Ward 13,6102,6775,12877
Chimanimani,Ward 14,3043,2964,6007
Chimanimani,Ward 15,2932,3256,6188
Chimanimani,Ward 16,7071,7084,14155
Chimanimani,Ward 17,2192,2563,4755
Chimanimani,Ward 18,1173,1281,2454
Chimanimani,Ward 19,1292,1544,2836
Chimanimani,Ward 20,3382,3993,7375
Chimanimani,Ward 21,3960,4372,8332
Chimanimani,Ward 22,5415,5992,11407
Chimanimani,Ward 23,3906,4791,8697
Chimanimani,Total,73240,80380,153620
Chipinge Rural,Ward 01,4171,4940,9111
Chipinge Rural,Ward 02,3275,3907,7182
Chipinge Rural,Ward 03,5215,6429,11644
Chipinge Rural,Ward 04,3243,4099,7342
Chipinge Rural,Ward 05,9266,9253,18519
Chipinge Rural,Ward 06,7844,8658,16502
Chipinge Rural,Ward 07,3239,3135,6374
Chipinge Rural,Ward 08,8414,8544,16958
Chipinge Rural,Ward 09,2854,3173,6027
Chipinge Rural,Ward 10,2879,2677,5556
Chipinge Rural,Ward 11,1975,2098,4073
Chipinge Rural,Ward 12,2801,3128,5929
Chipinge Rural,Ward 13,5332,6125,11457
Chipinge Rural,Ward 14,2488,2970,5458
Chipinge Rural,Ward 15,4057,5014,9071
Chipinge Rural,Ward 16,6744,8117,14861
Chipinge Rural,Ward 17,6744,8057,14801
Chipinge Rural,Ward 18,5693,6648,12341
Chipinge Rural,Ward 19,7168,7903,15071
Chipinge Rural,Ward 20,9526,11741,21267
Chipinge Rural,Ward 21,4997,6179,11176
Chipinge Rural,Ward 22,5449,6375,11824
Chipinge Rural,Ward 23,5243,6057,11300
Chipinge Rural,Ward 24,14012,17148,31160
Chipinge Rural,Ward 25,7271,8860,16131
Chipinge Rural,Ward 26,10694,12106,22800
Chipinge Rural,Ward 27,4068,5077,9145
Chipinge Rural,Ward 28,10808,12354,23162
Chipinge Rural,Ward 29,6756,7798,14554
Chipinge Rural,Ward 30,2081,2382,4463
Chipinge Rural,Total,174307,200952,375259
Makoni,Ward 01,1862,2093,3955
Makoni,Ward 02,4276,4473,8749
Makoni,Ward 03,3800,4014,7814
Makoni,Ward 04,256,194,450
Makoni,Ward 05,5395,5908,11303
Makoni,Ward 06,6556,6050,12606
Makoni,Ward 07,5672,5951,11623
Makoni,Ward 08,6799,6569,13368
Makoni,Ward 09,5110,5140,10250
Makoni,Ward 10,3750,3744,7494
Makoni,Ward 11,3623,3291,6914
Makoni,Ward 12,5822,6558,12380
Makoni,Ward 13,760,692,1452
Makoni,Ward 14,2101,2351,4452
Makoni,Ward 15,3580,4120,7700
Makoni,Ward 16,6465,7689,14154
Makoni,Ward 17,5512,5165,10677
Makoni,Ward 18,2746,3104,5850
Makoni,Ward 19,2564,2923,5487
Makoni,Ward 20,3309,3699,7008
Makoni,Ward 21,1907,2109,4016
Makoni,Ward 22,1760,1988,3748
Makoni,Ward 23,3983,4359,8342
Makoni,Ward 24,2776,3386,6162
Makoni,Ward 25,3490,4060,7550
Makoni,Ward 26,3888,4398,8286
Makoni,Ward 27,3968,4520,8488
Makoni,Ward 28,1877,2101,3978
Makoni,Ward 29,1529,1763,3292
Makoni,Ward 30,3101,3324,6425
Makoni,Ward 31,5219,5573,10792
Makoni,Ward 32,737,904,1641
Makoni,Ward 33,1850,2153,4003
Makoni,Ward 34,2414,2381,4795
Makoni,Ward 35,6320,6163,12483
Makoni,Ward 36,2665,2766,5431
Makoni,Ward 37,7170,6338,13508
Makoni,Ward 38,3663,3316,6979
Makoni,Ward 39,2354,2485,4839
Makoni,Total,140629,147815,288444
Mutare Rural,Ward 01,6527,6135,12662
Mutare Rural,Ward 02,6567,6873,13440
Mutare Rural,Ward 03,9234,9547,18781
Mutare Rural,Ward 04,1709,1920,3629
Mutare Rural,Ward 05,1443,1589,3032
Mutare Rural,Ward 06,3686,4157,7843
Mutare Rural,Ward 07,2647,2608,5255
Mutare Rural,Ward 08,1105,1213,2318
Mutare Rural,Ward 09,2971,3331,6302
Mutare Rural,Ward 10,4062,4660,8722
Mutare Rural,Ward 11,3773,4309,8082
Mutare Rural,Ward 12,3010,3412,6422
Mutare Rural,Ward 13,2655,2832,5487
Mutare Rural,Ward 14,2477,2693,5170
Mutare Rural,Ward 15,8043,9140,17183
Mutare Rural,Ward 16,9916,12121,22037
Mutare Rural,Ward 17,3403,4025,7428
Mutare Rural,Ward 18,3372,3916,7288
Mutare Rural,Ward 19,3281,3861,7142
Mutare Rural,Ward 20,2086,2397,4483
Mutare Rural,Ward 21,2021,2573,4594
Mutare Rural,Ward 22,6164,6635,12799
Mutare Rural,Ward 23,3631,4251,7882
Mutare Rural,Ward 24,4651,5201,9852
Mutare Rural,Ward 25,2953,3335,6288
Mutare Rural,Ward 26,1264,1437,2701
Mutare Rural,Ward 27,1952,2351,4303
Mutare Rural,Ward 28,3276,3818,7094
Mutare Rural,Ward 29,6186,5880,12066
Mutare Rural,Ward 30,7460,6935,14395
Mutare Rural,Ward 31,1966,1920,3886
Mutare Rural,Ward 32,2703,3286,5989
Mutare Rural,Ward 33,5534,5420,10954
Mutare Rural,Ward 34,9984,10043,20027
Mutare Rural,Ward 35,3143,3390,6533
Mutare Rural,Ward 36,2191,2500,4691
Mutare Rural,Total,147046,159714,306760
Mutasa,Ward 01,4671,5912,10583
Mutasa,Ward 02,1333,1191,2524
Mutasa,Ward 03,4476,5240,9716
Mutasa,Ward 04,3151,3668,6819
Mutasa,Ward 05,4419,5356,9775
Mutasa,Ward 06,4318,5070,9388
Mutasa,Ward 07,4273,4836,9109
Mutasa,Ward 08,3172,3841,7013
Mutasa,Ward 09,3284,3746,7030
Mutasa,Ward 10,1819,2169,3988
Mutasa,Ward 11,5237,6312,11549
Mutasa,Ward 12,2738,3337,6075
Mutasa,Ward 13,1850,2023,3873
Mutasa,Ward 14,1191,1358,2549
Mutasa,Ward 15,1506,1744,3250
Mutasa,Ward 16,1326,1520,2846
Mutasa,Ward 17,5260,6007,11267
Mutasa,Ward 18,1530,1226,2756
Mutasa,Ward 19,3299,4012,7311
Mutasa,Ward 20,2242,2477,4719
Mutasa,Ward 21,7787,7178,14965
Mutasa,Ward 22,2297,1905,4202
Mutasa,Ward 23,4288,3777,8065
Mutasa,Ward 24,1976,2339,4315
Mutasa,Ward 25,2166,1953,4119
Mutasa,Ward 26,3717,3652,7369
Mutasa,Ward 27,1057,846,1903
Mutasa,Ward 28,2081,2491,4572
Mutasa,Ward 29,1343,1422,2765
Mutasa,Ward 30,3009,3478,6487
Mutasa,Ward 31,3139,3769,6908
Mutasa,Total,93955,103855,197810
Nyanga Rural,Ward 01,3081,3350,6431
Nyanga Rural,Ward 02,3967,4091,8058
Nyanga Rural,Ward 03,3645,3970,7615
Nyanga Rural,Ward 04,3846,4495,8341
Nyanga Rural,Ward 05,3255,3680,6935
Nyanga Rural,Ward 06,1836,2275,4111
Nyanga Rural,Ward 07,2034,2358,4392
Nyanga Rural,Ward 08,1469,1658,3127
Nyanga Rural,Ward 09,3286,3614,6900
Nyanga Rural,Ward 10,1559,1850,3409
Nyanga Rural,Ward 11,1696,1931,3627
Nyanga Rural,Ward 12,2536,2808,5344
Nyanga Rural,Ward 13,1547,1722,3269
Nyanga Rural,Ward 14,1988,2200,4188
Nyanga Rural,Ward 15,5348,5788,11136
Nyanga Rural,Ward 16,1574,1576,3150
Nyanga Rural,Ward 17,1807,2157,3964
Nyanga Rural,Ward 18,1850,2286,4136
Nyanga Rural,Ward 19,1777,2025,3802
Nyanga Rural,Ward 20,1724,951,2675
Nyanga Rural,Ward 21,3783,4406,8189
Nyanga Rural,Ward 22,1503,1710,3213
Nyanga Rural,Ward 23,3346,3276,6622
Nyanga Rural,Ward 24,1299,1123,2422
Nyanga Rural,Ward 25,1380,1106,2486
Nyanga Rural,Ward 26,1721,1301,3022
Nyanga Rural,Ward 27,1255,1404,2659
Nyanga Rural,Ward 28,476,357,833
Nyanga Rural,Ward 29,2677,3006,5683
Nyanga Rural,Ward 30,1857,2133,3990
Nyanga Rural,Ward 31,1310,1243,2553
Nyanga Rural,Total,70432,75850,146282
Mutare,Ward 01,3728,3673,7401
Mutare,Ward 02,2360,2263,4623
Mutare,Ward 03,3155,3413,6568
Mutare,Ward 04,3315,3377,6692
Mutare,Ward 05,4073,4331,8404
Mutare,Ward 06,2214,2641,4855
Mutare,Ward 07,3534,3925,7459
Mutare,Ward 08,2610,3127,5737
Mutare,Ward 09,3148,3778,6926
Mutare,Ward 10,1656,1495,3151
Mutare,Ward 11,5451,6165,11616
Mutare,Ward 12,7342,7995,15337
Mutare,Ward 13,3886,3714,7600
Mutare,Ward 14,8955,10419,19374
Mutare,Ward 15,10399,11751,22150
